feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,2.67,2.00,2.67→2.00,1
BRANCH-DIFF,1.80,1.71,1.80→1.71,1
BRANCH-DIFF,1.79,1.73,1.79→1.73,1
BRANCH-DIFF,2.22,1.88,2.22→1.88,1
BRANCH-DIFF,1.83,1.70,1.83→1.70,1
BRANCH-DIFF,1.95,1.94,1.95→1.94,1
BRANCH-DIFF,2.38,2.31,2.38→2.31,1
BRANCH-DIFF,2.17,2.07,2.17→2.07,1
BRANCH-DIFF,1.88,1.81,1.88→1.81,1
BRANCH-DIFF,2.17,1.93,2.17→1.93,1
BRANCH-DIFF,2.25,1.90,2.25→1.90,1
BRANCH-DIFF,2.29,2.57,2.29→2.57,1
BRANCH-DIFF,2.21,1.86,2.21→1.86,1
BRANCH-DIFF,2.12,2.09,2.12→2.09,1
BRANCH-DIFF,2.60,2.44,2.60→2.44,1
BRANCH-DIFF,2.00,2.50,2.00→2.50,1
